Windows API DLLs
Function Names and Corresponding DLLs
Upl. Courtesy User Friendly, Inc.
June 24, 1991


    This list does not give the return values or the
calling parameters for each function.  To find this
out, search for the function name in the include file
"windows.h", which is supplied with the "Windows 3.0
Software Development Kit" (Microsoft Corp., 1990).

    If you do not have access to this file, the same
information will be found in the book "Microsoft
Windows Programmer's Reference" (Microsoft Press,
1990).  This book may be found in most major
bookstores.

I know that a list of declares would be more useful
and I will try to find the time to do this but I
thought at this point, anything would help.  Hope
so! -=- Jonathan Zuck



Function Name                   Windows DLL
-------------                   -----------
PtInRect                        user.exe
PtInRegion                      gdi.exe
PtVisible                       gdi.exe
ReadComm                        user.exe
Rectangle                       gdi.exe
RectVisible                     gdi.exe
RegisterClass                   user.exe
RegisterClipboardFormat         user.exe
RegisterWindowMessage           user.exe
ReleaseCapture                  user.exe
ReleaseDC                       user.exe
RemoveFontResource              gdi.exe
RemoveProp                      user.exe
ReplyMessage                    user.exe
RestoreDC                       gdi.exe
RoundRect                       gdi.exe
SaveDC                          gdi.exe
ScaleViewportExt                gdi.exe
ScaleWindowExt                  gdi.exe
ScreenToClient                  user.exe
ScrollDC                        user.exe
ScrollWindow                    user.exe
SelectClipRgn                   gdi.exe
SelectObject                    gdi.exe
SendDlgItemMessage              user.exe
SendMessage                     user.exe
SetActiveWindow                 user.exe
SetBitmapBits                   gdi.exe
SetBitmapDimension              gdi.exe
SetBkColor                      gdi.exe
SetBkMode                       gdi.exe
SetBrushOrg                     gdi.exe
SetCapture                      user.exe
SetCaretBlinkTime               user.exe
SetCaretPos                     user.exe
SetClassLong                    user.exe
SetClassWord                    user.exe
SetClipboardData                user.exe
SetClipboardViewer              user.exe
SetCommBreak                    user.exe
SetCommEventMask                user.exe
SetCommState                    user.exe
SetCursor                       user.exe
SetCursorPos                    user.exe
SetDlgItemInt                   user.exe
SetDlgItemText                  user.exe
SetDoubleClickTime              user.exe
SetEnvironment                  gdi.exe
SetErrorMode                    kernel.exe
SetFocus                        user.exe
SetKeyboardState                user.exe
SetMapMode                      gdi.exe
SetMapperFlags                  gdi.exe
SetMenu                         user.exe
SetMessageQueue                 user.exe
SetMetaFileBits                 gdi.exe
SetParent                       user.exe
SetPixel                        gdi.exe
